시가,고가,저가,종가,거래량,거래대금,등락률
9390,9450,9060,9190,119490,1097553350,-2.03
5020,5090,4935,4955,87616,435837840,-1.1
7410,7600,7400,7490,43244,322870190,1.22
2870,2895,2745,2845,135554,377007485,-0.7
4885,4910,4805,4815,36279,175680535,-0.41
19150,19200,18500,19100,53703,1018365800,1.87
21150,21800,21050,21250,241274,5160089500,1.67
5750,5780,5700,5760,23213,133286630,0.17
6780,7000,6700,6950,1150180,7916229590,3.12
2980,2985,2920,2930,117899,347242825,-0.85
38700,39450,38150,38900,255840,9940617650,1.3
18650,18700,18350,18700,6691,123301200,0.27
3650,3670,3555,3635,58852,212152885,0.14
23050,24200,22600,23750,144861,3423525100,3.04
11600,11900,11500,11700,55850,654641300,1.74
6710,6740,6540,6620,31998,211006100,-0.6
5070,5110,4995,5070,629956,3183016175,1.0
52700,57100,49400,49750,3837615,201071330650,-7.36
7150,7150,6890,6900,603740,4214673240,-3.5
21050,21200,20350,20350,120462,2483335300,-2.86
24800,25500,24000,24200,434904,10731909350,-2.22
1095,1140,1090,1120,138395,154414595,2.75
4015,4210,4000,4135,161542,667031800,3.5
7980,7980,7740,7750,66564,519219010,-1.9
32600,33800,32200,32400,148173,4905143950,-0.31
1010,1085,996,1045,620385,644508615,3.98
19150,19550,18800,19150,229328,4386160050,1.32
27950,27950,27950,27950,2,55900,-0.18
3065,3105,3010,3035,649536,1983359025,-0.82
162000,163300,158100,161600,44906,7231494600,0.06
905,907,891,898,78027,70049413,0.0
507,578,505,561,14293962,7926914344,9.36
3040,3350,3040,3200,27310,87583110,0.31
7750,7780,7630,7690,83966,645965060,-0.77
13400,13450,13200,13250,36412,485197700,-1.12
9860,10450,9760,10200,1831687,18635234290,4.51
4110,4165,4075,4095,27465,112398575,-0.36
4355,4355,4280,4290,44040,189763425,-0.92
6490,6590,6300,6310,96816,615518120,-2.17
3270,3345,3230,3305,97704,321410625,1.69
3990,4105,3805,4100,209579,832911120,4.19
6150,6150,5920,5930,28706,171897880,-0.84
4980,5040,4950,4995,7861,39188145,-0.1
18350,18550,17600,17850,227472,4108156150,-2.46
20450,20700,20350,20650,7968,163232700,0.98
50500,50800,50000,50500,5974,301250800,0.2
8520,8950,8520,8940,13514,119023740,4.2
8710,8740,8610,8690,31898,276742320,-0.34
12550,12600,12150,12200,208372,2561613950,-2.01
5880,5930,5750,5830,55901,325143400,0.87
38250,38450,37500,37900,6561,247551550,-0.92
10900,10900,10750,10800,16757,181129050,-0.92
80500,80800,77600,78200,74056,5823262100,-3.22
2985,2990,2950,2950,272804,808086950,-0.17
22550,22600,21950,22150,45400,1007532700,-0.23
5510,5560,5470,5470,118898,654064520,-0.55
3305,3305,3150,3165,44912,143727675,-1.09
3335,3350,2400,2555,10457910,27587867435,-22.69
131700,131700,127800,128600,50271,6485453700,-1.76
14750,14800,14550,14600,33280,487350300,-1.02
1840,1890,1740,1795,5675125,10318517620,0.0
356,360,349,349,247721,87507987,-2.24
13050,13150,12800,13000,99980,1295930900,0.0
11100,11100,10850,11000,14551,159170700,0.0
2455,2480,2435,2465,52944,129962340,0.41
6730,6780,6360,6420,927693,6058988900,-4.89
0,0,0,1495,0,0,0.0
0,0,0,9210,0,0,0.0
3280,3300,3225,3260,84848,276439700,-0.46
19150,19500,18700,18700,63518,1203844000,0.0
18650,18700,18050,18050,173415,3151641150,-4.24
2935,3170,2920,2935,1521551,4623885735,-0.17
3350,3555,3350,3515,203819,709225600,5.08
1360,1400,1350,1395,195485,269717710,3.33
883,888,870,882,160714,141230355,0.11
12100,12450,11850,11900,31174,374642300,-1.65
1740,1930,1715,1725,2382214,4319630625,0.0
